customer_id,recency,frequency,monetary,R,F,M,rfm_score,segment
CUST_00085,327,1,25.16,1,1,1,3,One-Time Buyer
CUST_00086,172,1,65.25,3,1,2,6,One-Time Buyer
CUST_00087,206,1,63.96,2,1,2,5,One-Time Buyer
CUST_00088,241,1,72.32,2,1,2,5,One-Time Buyer
CUST_00089,316,1,48.0,1,1,1,3,One-Time Buyer
CUST_00090,277,1,120.0,1,1,4,6,One-Time Buyer
CUST_00091,310,1,196.0,1,1,5,7,One-Time Buyer
CUST_00092,98,2,119.65,4,4,4,12,Champion
CUST_00093,47,2,156.0,5,4,4,13,Champion
CUST_00094,164,1,63.0,3,1,2,6,One-Time Buyer
CUST_00095,232,1,68.0,2,1,2,5,One-Time Buyer
CUST_00096,98,1,59.2,4,1,1,6,New Customer
CUST_00097,347,1,228.12,1,1,5,7,One-Time Buyer
CUST_00098,47,1,84.44,5,1,3,9,New Customer
CUST_00099,173,2,411.53,3,4,5,12,Loyal Customer
CUST_00100,138,1,356.0,3,1,5,9,One-Time Buyer
CUST_00101,103,2,143.78,4,4,4,12,Champion
CUST_00102,27,1,74.0,5,1,2,8,New Customer
CUST_00103,128,1,179.34,3,1,5,9,One-Time Buyer
CUST_00104,173,4,243.81,3,5,5,13,Loyal Customer
CUST_00105,253,3,371.6,2,5,5,12,At Risk
CUST_00106,269,1,134.51,1,1,4,6,One-Time Buyer
CUST_00107,75,3,184.24,5,5,5,15,Champion
CUST_00108,134,1,127.02,3,1,4,8,One-Time Buyer
CUST_00109,75,1,80.85,5,1,3,9,New Customer
CUST_00110,138,1,221.86,3,1,5,9,One-Time Buyer
CUST_00111,40,1,63.37,5,1,2,8,New Customer
CUST_00112,195,2,469.82,2,4,5,11,At Risk
CUST_00113,122,1,62.0,4,1,2,7,New Customer
CUST_00114,169,1,173.05,3,1,5,9,One-Time Buyer
CUST_00115,138,3,330.25,3,5,5,13,Loyal Customer
CUST_00116,42,2,156.88,5,4,4,13,Champion
CUST_00117,355,1,62.0,1,1,2,4,One-Time Buyer
CUST_00118,333,1,51.0,1,1,1,3,One-Time Buyer
CUST_00119,355,1,57.0,1,1,1,3,One-Time Buyer
CUST_00120,47,1,74.0,5,1,2,8,New Customer
CUST_00121,75,2,273.29,5,4,5,14,Champion
CUST_00122,15,3,463.37999999999994,5,5,5,15,Champion
CUST_00123,363,1,76.32,1,1,3,5,One-Time Buyer
CUST_00124,74,1,188.0,5,1,5,11,New Customer
CUST_00125,277,2,136.0,1,4,4,9,At Risk
CUST_00126,275,1,72.0,1,1,2,4,One-Time Buyer
CUST_00127,239,2,139.43,2,4,4,10,At Risk
CUST_00128,183,1,68.0,2,1,2,5,One-Time Buyer
CUST_00129,138,1,124.77,3,1,4,8,One-Time Buyer
CUST_00130,234,1,73.27,2,1,2,5,One-Time Buyer
CUST_00131,73,2,135.66,5,4,4,13,Champion
CUST_00132,129,2,117.47999999999999,3,4,4,11,Loyal Customer
CUST_00133,147,1,63.0,3,1,2,6,One-Time Buyer
CUST_00134,245,1,73.51,2,1,2,5,One-Time Buyer
CUST_00135,75,1,80.85,5,1,3,9,New Customer
CUST_00136,75,1,80.88,5,1,3,9,New Customer
CUST_00137,75,1,222.07,5,1,5,11,New Customer
CUST_00138,287,1,120.0,1,1,4,6,One-Time Buyer
CUST_00139,334,1,144.16,1,1,4,6,One-Time Buyer
CUST_00140,141,3,569.24,3,5,5,13,Loyal Customer
CUST_00141,222,1,109.75,2,1,4,7,One-Time Buyer
CUST_00142,47,1,78.0,5,1,3,9,New Customer
CUST_00143,47,2,152.0,5,4,4,13,Champion
CUST_00144,318,1,112.0,1,1,4,6,One-Time Buyer
CUST_00145,209,1,189.64,2,1,5,8,One-Time Buyer
CUST_00146,323,1,30.45,1,1,1,3,One-Time Buyer
CUST_00147,139,1,88.0,3,1,3,7,One-Time Buyer
CUST_00148,287,1,200.52,1,1,5,7,One-Time Buyer
CUST_00149,239,1,145.46,2,1,4,7,One-Time Buyer
CUST_00150,114,1,62.79,4,1,2,7,New Customer
CUST_00151,14,1,79.0,5,1,3,9,New Customer
CUST_00152,125,1,62.05,4,1,2,7,New Customer
CUST_00153,103,1,81.78,4,1,3,8,New Customer
CUST_00154,157,1,61.2,3,1,2,6,One-Time Buyer
CUST_00155,75,1,127.11,5,1,4,10,New Customer
CUST_00156,147,1,72.08,3,1,2,6,One-Time Buyer
CUST_00157,217,1,29.68,2,1,1,4,One-Time Buyer
CUST_00158,47,1,78.0,5,1,3,9,New Customer
CUST_00159,312,1,30.03,1,1,1,3,One-Time Buyer
CUST_00160,47,1,78.0,5,1,3,9,New Customer
CUST_00161,253,2,256.45,2,4,5,11,At Risk
CUST_00162,75,13,1674.54,5,5,5,15,Champion
CUST_00163,214,1,72.59,2,1,2,5,One-Time Buyer
CUST_00164,97,1,72.69,4,1,2,7,New Customer
CUST_00165,329,1,69.15,1,1,2,4,One-Time Buyer
CUST_00166,79,1,44.0,4,1,1,6,New Customer
CUST_00167,195,1,184.26,2,1,5,8,One-Time Buyer
CUST_00168,38,1,75.73,5,1,3,9,New Customer
CUST_00169,75,1,79.37,5,1,3,9,New Customer
CUST_00170,331,1,68.0,1,1,2,4,One-Time Buyer
CUST_00171,47,1,78.0,5,1,3,9,New Customer
CUST_00172,75,1,96.36,5,1,3,9,New Customer
CUST_00173,47,1,78.0,5,1,3,9,New Customer
CUST_00174,48,1,78.44,5,1,3,9,New Customer
CUST_00175,136,1,48.0,3,1,1,5,One-Time Buyer
CUST_00176,47,1,80.19,5,1,3,9,New Customer
CUST_00177,334,1,150.28,1,1,4,6,One-Time Buyer
CUST_00178,75,2,316.03,5,4,5,14,Champion
CUST_00179,189,1,118.75,2,1,4,7,One-Time Buyer
CUST_00180,334,1,30.03,1,1,1,3,One-Time Buyer
CUST_00181,138,1,62.0,3,1,2,6,One-Time Buyer
CUST_00182,358,1,62.0,1,1,2,4,One-Time Buyer
CUST_00183,13,1,54.08,5,1,1,7,New Customer
CUST_00184,23,1,74.0,5,1,2,8,New Customer
CUST_00185,136,1,106.0,3,1,4,8,One-Time Buyer
CUST_00186,153,3,197.8,3,5,5,13,Loyal Customer
CUST_00187,167,1,107.31,3,1,4,8,One-Time Buyer
CUST_00188,133,1,8.0,3,1,1,5,One-Time Buyer
CUST_00189,334,1,175.48,1,1,5,7,One-Time Buyer
CUST_00190,6,1,215.92,5,1,5,11,New Customer
CUST_00191,237,1,128.0,2,1,4,7,One-Time Buyer
CUST_00192,47,1,78.0,5,1,3,9,New Customer
CUST_00193,319,1,69.15,1,1,2,4,One-Time Buyer
CUST_00194,213,1,28.0,2,1,1,4,One-Time Buyer
CUST_00195,74,1,73.11,5,1,2,8,New Customer
CUST_00196,47,1,78.0,5,1,3,9,New Customer
CUST_00197,98,1,63.94,4,1,2,7,New Customer
CUST_00198,153,1,42.03,3,1,1,5,One-Time Buyer
CUST_00199,173,1,5.44,3,1,1,5,One-Time Buyer
CUST_00200,299,1,47.6,1,1,1,3,One-Time Buyer
CUST_00201,232,1,68.0,2,1,2,5,One-Time Buyer
CUST_00202,166,1,25.42,3,1,1,5,One-Time Buyer
CUST_00203,45,1,107.56,5,1,4,10,New Customer
CUST_00204,98,1,59.2,4,1,1,6,New Customer
CUST_00205,210,1,68.0,2,1,2,5,One-Time Buyer
CUST_00206,310,1,150.28,1,1,4,6,One-Time Buyer
CUST_00207,193,1,120.0,2,1,4,7,One-Time Buyer
CUST_00208,240,2,123.98,2,4,4,10,At Risk
CUST_00209,163,1,65.94,3,1,2,6,One-Time Buyer
CUST_00210,354,1,68.0,1,1,2,4,One-Time Buyer
CUST_00211,32,1,39.0,5,1,1,7,New Customer
CUST_00212,173,1,87.98,3,1,3,7,One-Time Buyer
CUST_00213,105,2,97.02,4,4,3,11,Champion
CUST_00214,251,1,68.0,2,1,2,5,One-Time Buyer
CUST_00215,47,1,78.0,5,1,3,9,New Customer
CUST_00216,47,2,142.0,5,4,4,13,Champion
CUST_00217,47,1,112.66,5,1,4,10,New Customer
CUST_00218,195,1,58.06,2,1,1,4,One-Time Buyer
CUST_00219,157,2,120.67999999999999,3,4,4,11,Loyal Customer
CUST_00220,100,1,128.0,4,1,4,9,New Customer
CUST_00221,125,1,30.59,4,1,1,6,New Customer
CUST_00222,14,1,93.0,5,1,3,9,New Customer
CUST_00223,137,1,8.84,3,1,1,5,One-Time Buyer
CUST_00224,75,1,74.0,5,1,2,8,New Customer
CUST_00225,162,1,74.21,3,1,3,7,One-Time Buyer
CUST_00226,131,1,80.0,3,1,3,7,One-Time Buyer
CUST_00227,206,1,27.0,2,1,1,4,One-Time Buyer
CUST_00228,122,2,126.35999999999999,4,4,4,12,Champion
CUST_00229,59,1,126.97,5,1,4,10,New Customer
CUST_00230,147,1,68.0,3,1,2,6,One-Time Buyer
CUST_00231,215,2,114.48,2,4,4,10,At Risk
CUST_00232,60,1,79.0,5,1,3,9,New Customer
CUST_00233,137,2,120.19999999999999,3,4,4,11,Loyal Customer
CUST_00234,320,1,127.2,1,1,4,6,One-Time Buyer
CUST_00235,259,1,72.51,1,1,2,4,One-Time Buyer
CUST_00236,58,3,90.72,5,5,3,13,Champion
CUST_00237,153,2,130.0,3,4,4,11,Loyal Customer
CUST_00238,346,1,15.9,1,1,1,3,One-Time Buyer
CUST_00239,75,1,125.78,5,1,4,10,New Customer
CUST_00240,212,1,72.11,2,1,2,5,One-Time Buyer
CUST_00241,299,1,39.2,1,1,1,3,One-Time Buyer
CUST_00242,175,1,175.96,3,1,5,9,One-Time Buyer
CUST_00243,195,1,196.11,2,1,5,8,One-Time Buyer
CUST_00244,114,1,39.0,4,1,1,6,New Customer
CUST_00245,329,1,68.0,1,1,2,4,One-Time Buyer
CUST_00246,75,2,161.10000000000002,5,4,4,13,Champion
CUST_00247,334,1,68.0,1,1,2,4,One-Time Buyer
CUST_00248,276,1,124.0,1,1,4,6,One-Time Buyer
CUST_00249,147,1,30.73,3,1,1,5,One-Time Buyer
CUST_00250,201,1,52.0,2,1,1,4,One-Time Buyer
CUST_00251,17,1,30.24,5,1,1,7,New Customer
CUST_00252,280,1,30.24,1,1,1,3,One-Time Buyer
CUST_00253,322,1,170.0,1,1,5,7,One-Time Buyer
CUST_00254,320,1,73.95,1,1,2,4,One-Time Buyer
CUST_00255,47,3,280.0,5,5,5,15,Champion
CUST_00256,359,1,94.64,1,1,3,5,One-Time Buyer
CUST_00257,334,1,171.72,1,1,5,7,One-Time Buyer
CUST_00258,42,1,102.0,5,1,3,9,New Customer
CUST_00259,137,2,136.1,3,4,4,11,Loyal Customer
CUST_00260,82,1,32.03,4,1,1,6,New Customer
CUST_00261,209,1,72.08,2,1,2,5,One-Time Buyer
CUST_00262,21,3,413.11,5,5,5,15,Champion
CUST_00263,332,1,135.12,1,1,4,6,One-Time Buyer
CUST_00264,47,4,269.38,5,5,5,15,Champion
CUST_00265,148,1,149.46,3,1,4,8,One-Time Buyer
CUST_00266,206,1,61.2,2,1,2,5,One-Time Buyer
CUST_00267,166,1,87.48,3,1,3,7,One-Time Buyer
CUST_00268,75,1,74.0,5,1,2,8,New Customer
CUST_00269,47,1,83.46,5,1,3,9,New Customer
CUST_00270,75,1,332.03,5,1,5,11,New Customer
CUST_00271,319,1,197.93,1,1,5,7,One-Time Buyer
CUST_00272,138,1,136.12,3,1,4,8,One-Time Buyer
CUST_00273,75,1,74.0,5,1,2,8,New Customer
CUST_00274,79,3,581.86,4,5,5,14,Champion
CUST_00275,321,1,72.08,1,1,2,4,One-Time Buyer
CUST_00276,72,1,125.04,5,1,4,10,New Customer
CUST_00277,166,1,176.0,3,1,5,9,One-Time Buyer
CUST_00278,214,1,129.24,2,1,4,7,One-Time Buyer
CUST_00279,132,2,269.6,3,4,5,12,Loyal Customer
CUST_00280,75,1,74.0,5,1,2,8,New Customer
CUST_00281,147,1,61.2,3,1,2,6,One-Time Buyer
CUST_00282,239,1,30.34,2,1,1,4,One-Time Buyer
CUST_00283,347,1,72.61,1,1,2,4,One-Time Buyer
CUST_00284,175,1,216.0,3,1,5,9,One-Time Buyer
CUST_00285,1,7,464.28,5,5,5,15,Champion
CUST_00286,130,1,100.41,3,1,3,7,One-Time Buyer
CUST_00287,358,1,79.02,1,1,3,5,One-Time Buyer
CUST_00288,176,1,55.12,3,1,1,5,One-Time Buyer
CUST_00289,75,1,74.0,5,1,2,8,New Customer
CUST_00290,124,2,170.0,4,4,5,13,Champion
CUST_00291,140,1,74.63,3,1,3,7,One-Time Buyer
CUST_00292,1,1,219.43,5,1,5,11,New Customer
CUST_00293,297,1,24.38,1,1,1,3,One-Time Buyer
CUST_00294,320,1,109.91,1,1,4,6,One-Time Buyer
CUST_00295,175,1,132.3,3,1,4,8,One-Time Buyer
CUST_00296,47,2,167.32,5,4,4,13,Champion
CUST_00297,301,1,30.17,1,1,1,3,One-Time Buyer
CUST_00298,264,1,59.13,1,1,1,3,One-Time Buyer
CUST_00299,204,2,136.0,2,4,4,10,At Risk
CUST_00300,220,2,100.0,2,4,3,9,At Risk
CUST_00301,277,1,65.94,1,1,2,4,One-Time Buyer
CUST_00302,130,1,8.0,3,1,1,5,One-Time Buyer
CUST_00303,131,2,240.82,3,4,5,12,Loyal Customer
CUST_00304,103,3,364.38,4,5,5,14,Champion
CUST_00305,234,1,137.02,2,1,4,7,One-Time Buyer
CUST_00306,125,1,27.56,4,1,1,6,New Customer
CUST_00307,251,1,58.0,2,1,1,4,One-Time Buyer
CUST_00308,364,1,75.99,1,1,3,5,One-Time Buyer
CUST_00309,75,1,81.22,5,1,3,9,New Customer
CUST_00310,185,1,42.0,2,1,1,4,One-Time Buyer
CUST_00311,258,1,73.1,2,1,2,5,One-Time Buyer
CUST_00312,139,1,103.89,3,1,4,8,One-Time Buyer
CUST_00313,125,1,52.2,4,1,1,6,New Customer
CUST_00314,247,1,204.0,2,1,5,8,One-Time Buyer
CUST_00315,279,2,197.94,1,4,5,10,At Risk
CUST_00316,30,3,239.28,5,5,5,15,Champion
CUST_00317,47,3,256.83,5,5,5,15,Champion
CUST_00318,39,1,128.0,5,1,4,10,New Customer
CUST_00319,42,1,72.0,5,1,2,8,New Customer
CUST_00320,19,2,78.0,5,4,3,12,Champion
CUST_00321,177,1,68.0,3,1,2,6,One-Time Buyer
CUST_00322,309,1,34.8,1,1,1,3,One-Time Buyer
CUST_00323,334,1,96.0,1,1,3,5,One-Time Buyer
CUST_00324,327,2,147.36,1,4,4,9,At Risk
CUST_00325,331,1,132.68,1,1,4,6,One-Time Buyer
CUST_00326,162,1,120.0,3,1,4,8,One-Time Buyer
CUST_00327,234,1,144.16,2,1,4,7,One-Time Buyer
CUST_00328,47,2,152.0,5,4,4,13,Champion
CUST_00329,70,1,66.6,5,1,2,8,New Customer
CUST_00330,215,1,68.0,2,1,2,5,One-Time Buyer
CUST_00331,219,1,68.0,2,1,2,5,One-Time Buyer
CUST_00332,329,2,108.0,1,4,4,9,At Risk
CUST_00333,274,1,77.88,1,1,3,5,One-Time Buyer
CUST_00334,257,1,29.96,2,1,1,4,One-Time Buyer
CUST_00335,51,3,214.4,5,5,5,15,Champion
CUST_00336,181,1,68.0,2,1,2,5,One-Time Buyer
CUST_00337,56,1,28.0,5,1,1,7,New Customer
CUST_00338,138,1,66.5,3,1,2,6,One-Time Buyer
CUST_00339,172,1,261.01,3,1,5,9,One-Time Buyer
CUST_00340,272,2,146.38,1,4,4,9,At Risk
CUST_00341,15,1,74.0,5,1,2,8,New Customer
CUST_00342,47,1,86.01,5,1,3,9,New Customer
CUST_00343,272,1,89.6,1,1,3,5,One-Time Buyer
CUST_00344,184,1,66.0,2,1,2,5,One-Time Buyer
CUST_00345,253,2,187.92000000000002,2,4,5,11,At Risk
CUST_00346,110,1,74.0,4,1,2,7,New Customer
CUST_00347,280,2,113.1,1,4,4,9,At Risk
CUST_00348,16,2,401.5,5,4,5,14,Champion
CUST_00349,73,2,214.0,5,4,5,14,Champion
CUST_00350,138,1,97.46,3,1,3,7,One-Time Buyer
CUST_00351,130,1,62.0,3,1,2,6,One-Time Buyer
CUST_00352,334,1,78.14,1,1,3,5,One-Time Buyer
CUST_00353,122,1,79.02,4,1,3,8,New Customer
CUST_00354,140,1,176.06,3,1,5,9,One-Time Buyer
CUST_00355,285,1,34.94,1,1,1,3,One-Time Buyer
CUST_00356,249,1,34.48,2,1,1,4,One-Time Buyer
CUST_00357,256,1,73.95,2,1,2,5,One-Time Buyer
CUST_00358,360,1,78.0,1,1,3,5,One-Time Buyer
CUST_00359,75,2,203.88,5,4,5,14,Champion
CUST_00360,47,1,78.0,5,1,3,9,New Customer
CUST_00361,47,1,84.05,5,1,3,9,New Customer
CUST_00362,236,1,72.08,2,1,2,5,One-Time Buyer
CUST_00363,138,1,216.24,3,1,5,9,One-Time Buyer
CUST_00364,47,1,78.0,5,1,3,9,New Customer
CUST_00365,141,1,67.0,3,1,2,6,One-Time Buyer
CUST_00366,47,1,78.0,5,1,3,9,New Customer
CUST_00367,47,1,83.81,5,1,3,9,New Customer
CUST_00368,99,1,128.0,4,1,4,9,New Customer
CUST_00369,332,2,131.0,1,4,4,9,At Risk
CUST_00370,275,1,34.8,1,1,1,3,One-Time Buyer
CUST_00371,47,2,169.66,5,4,5,14,Champion
CUST_00372,143,1,30.86,3,1,1,5,One-Time Buyer
CUST_00373,155,1,52.0,3,1,1,5,One-Time Buyer
CUST_00374,232,1,153.65,2,1,4,7,One-Time Buyer
CUST_00375,79,3,235.75,4,5,5,14,Champion
CUST_00376,160,1,72.78,3,1,2,6,One-Time Buyer
CUST_00377,291,1,72.42,1,1,2,4,One-Time Buyer
CUST_00378,75,1,125.78,5,1,4,10,New Customer
CUST_00379,334,1,160.89,1,1,4,6,One-Time Buyer
CUST_00380,351,2,171.19,1,4,5,10,At Risk
CUST_00381,47,1,78.0,5,1,3,9,New Customer
CUST_00382,261,1,58.0,1,1,1,3,One-Time Buyer
CUST_00383,187,1,156.88,2,1,4,7,One-Time Buyer
CUST_00384,272,1,47.6,1,1,1,3,One-Time Buyer
CUST_00385,75,2,265.6,5,4,5,14,Champion
CUST_00386,47,1,96.39,5,1,3,9,New Customer
CUST_00387,243,1,106.0,2,1,4,7,One-Time Buyer
CUST_00388,146,1,51.19,3,1,1,5,One-Time Buyer
CUST_00389,238,1,44.0,2,1,1,4,One-Time Buyer
CUST_00390,329,1,72.08,1,1,2,4,One-Time Buyer
CUST_00391,264,1,68.37,1,1,2,4,One-Time Buyer
CUST_00392,47,1,73.0,5,1,2,8,New Customer
CUST_00393,95,1,113.79,4,1,4,9,New Customer
CUST_00394,12,1,110.67,5,1,4,10,New Customer
CUST_00395,103,3,186.35999999999999,4,5,5,14,Champion
CUST_00396,47,5,328.0,5,5,5,15,Champion
CUST_00397,351,1,72.0,1,1,2,4,One-Time Buyer
CUST_00398,75,1,79.37,5,1,3,9,New Customer
CUST_00399,239,1,32.0,2,1,1,4,One-Time Buyer
CUST_00400,177,1,47.0,3,1,1,5,One-Time Buyer
CUST_00401,359,1,390.59,1,1,5,7,One-Time Buyer
CUST_00402,127,3,211.37,3,5,5,13,Loyal Customer
CUST_00403,158,2,135.31,3,4,4,11,Loyal Customer
CUST_00404,144,1,56.0,3,1,1,5,One-Time Buyer
CUST_00405,141,1,28.0,3,1,1,5,One-Time Buyer
CUST_00406,47,1,78.0,5,1,3,9,New Customer
CUST_00407,251,1,96.0,2,1,3,6,One-Time Buyer
CUST_00408,147,1,68.0,3,1,2,6,One-Time Buyer
CUST_00409,332,1,66.0,1,1,2,4,One-Time Buyer
CUST_00410,133,1,8.0,3,1,1,5,One-Time Buyer
CUST_00411,1,1,25.2,5,1,1,7,New Customer
CUST_00412,297,1,75.43,1,1,3,5,One-Time Buyer
CUST_00413,129,1,62.0,3,1,2,6,One-Time Buyer
CUST_00414,147,1,134.0,3,1,4,8,One-Time Buyer
CUST_00415,130,1,66.81,3,1,2,6,One-Time Buyer
CUST_00416,236,1,73.27,2,1,2,5,One-Time Buyer
CUST_00417,23,1,74.0,5,1,2,8,New Customer
CUST_00418,340,2,96.0,1,4,3,8,At Risk
CUST_00419,313,1,136.0,1,1,4,6,One-Time Buyer
CUST_00420,31,2,226.0,5,4,5,14,Champion
CUST_00421,156,3,204.0,3,5,5,13,Loyal Customer
CUST_00422,134,1,46.33,3,1,1,5,One-Time Buyer
CUST_00423,134,1,62.0,3,1,2,6,One-Time Buyer
CUST_00424,147,1,72.08,3,1,2,6,One-Time Buyer
CUST_00425,180,1,149.44,2,1,4,7,One-Time Buyer
CUST_00426,168,1,72.08,3,1,2,6,One-Time Buyer
CUST_00427,115,1,56.0,4,1,1,6,New Customer
CUST_00428,8,2,144.0,5,4,4,13,Champion
CUST_00429,334,1,52.0,1,1,1,3,One-Time Buyer
CUST_00430,47,1,83.86,5,1,3,9,New Customer
CUST_00431,349,1,160.6,1,1,4,6,One-Time Buyer
CUST_00432,244,1,68.0,2,1,2,5,One-Time Buyer
CUST_00433,75,1,74.5,5,1,3,9,New Customer
CUST_00434,299,1,46.2,1,1,1,3,One-Time Buyer
CUST_00435,259,1,69.96,1,1,2,4,One-Time Buyer
CUST_00436,140,1,77.04,3,1,3,7,One-Time Buyer
CUST_00437,298,1,28.0,1,1,1,3,One-Time Buyer
CUST_00438,316,1,182.0,1,1,5,7,One-Time Buyer
CUST_00439,242,1,96.0,2,1,3,6,One-Time Buyer
CUST_00440,203,1,60.34,2,1,1,4,One-Time Buyer
CUST_00441,138,2,209.0,3,4,5,12,Loyal Customer
CUST_00442,92,1,53.5,4,1,1,6,New Customer
CUST_00443,268,1,48.87,1,1,1,3,One-Time Buyer
CUST_00444,361,1,73.5,1,1,2,4,One-Time Buyer
CUST_00445,319,1,187.68,1,1,5,7,One-Time Buyer
CUST_00446,230,1,68.0,2,1,2,5,One-Time Buyer
CUST_00447,206,1,68.0,2,1,2,5,One-Time Buyer
CUST_00448,208,1,149.94,2,1,4,7,One-Time Buyer
CUST_00449,230,1,73.44,2,1,2,5,One-Time Buyer
CUST_00450,307,1,79.22,1,1,3,5,One-Time Buyer
CUST_00451,47,1,84.53,5,1,3,9,New Customer
CUST_00452,360,1,154.0,1,1,4,6,One-Time Buyer
CUST_00453,290,1,27.0,1,1,1,3,One-Time Buyer
CUST_00454,365,1,56.0,1,1,1,3,One-Time Buyer
CUST_00455,149,1,68.0,3,1,2,6,One-Time Buyer
CUST_00456,163,2,204.0,3,4,5,12,Loyal Customer
CUST_00457,122,5,657.19,4,5,5,14,Champion
CUST_00458,103,1,73.1,4,1,2,7,New Customer
CUST_00459,98,1,22.4,4,1,1,6,New Customer
